Dataset,F1,Precision,Recall,Micro F1,Macro F1,Micro Precision,Macro Precision,Micro Recall,Macro Recall
MOA1,0.832,0.675,0.853,0.899,0.808,0.897,0.816,0.903,0.803
MOA2,0.345,0.365,0.345,0.422,0.475,0.512,0.593,0.36,0.402
Mediamill,0.146,0.083,0,0.145,0.088,0.079,0.048,0.866,0.528
Scene_original,0.303,0.274,0.366,0.342,0.26,0.298,0.245,0.403,0.282
Yeast_original,0.502,0.355,0.948,0.515,0.454,0.352,0.311,0.959,0.845
Mediamill_modified,0.402,0.477,0.372,0.414,0.246,0.487,0.258,0.36,0.236
Scene_modified,0.523,0.48,0.631,0.548,0.39,0.465,0.314,0.669,0.543
Yeast_modified,0.441,0.396,0.549,0.469,0.393,0.401,0.294,0.565,0.593
Nus-wide_modified,0.373,0.278,0.723,0.411,0.29,0.283,0.192,0.749,0.594
